Column1;Heading;Pitch;Roll;Rate_X;Rate_Y;Rate_Z;Acc_X;Acc_Y;Acc_Z;Magn_X;Magn_Y;Magn_Z;Reserved1;Reserved2;Temperature;Vinp;USW;(L/H);Latitude;Longitude;Altitude;V_East;V_North;V_Up;Heave;V_Heave;Hs_wave;H_wave;T_wave;T_wave_max;Wave_direct;Wave_energy;a1;b1;a2;b2;Sync_byte;Freq_index_1;Wave_PSD_1;Freq_index_2;Wave_PSD_2;Freq_index_3;Wave_PSD_3;Freq_index_4;Wave_PSD_4;Freq_index_5;Wave_PSD_5;Freq_index_6;Wave_PSD_6;Freq_index_7;Wave_PSD_7;Freq_index_8;Wave_PSD_8;Lat_GNSS;Long_GNSS;Height_GNSS;Hor_spd;Trk_gnd;Ver_spd;ms_gps;GPS_Week;GNSS_info_1;GNSS_info_2;#solnSVs;V_latency;anglesPosType;Heading_GNSS;Latency_ms_head;Latency_ms_pos;Latency_ms_vel;New_GPS
;359.97;-0.10;0.67;0.0400;-0.0200;0.0600;-0.012250;-0.001750;1.010750;0.0;0.0;0.0;0;0;29.9;24.02;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;30;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018600;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0600;0.0000;0.0200;-0.011000;-0.002250;1.010750;0.0;0.0;0.0;0;0;30.1;23.93;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;31;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018620;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0600;-0.0400;0.0400;-0.011750;-0.002750;1.010500;0.0;0.0;0.0;0;0;30.0;24.05;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;0;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018640;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0400;0.0000;0.0400;-0.012250;-0.002500;1.010250;0.0;0.0;0.0;0;0;29.9;23.92;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;1;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018660;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0400;-0.0400;0.0200;-0.012750;-0.002750;1.010500;0.0;0.0;0.0;0;0;29.9;23.98;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;2;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018680;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0400;0.0000;0.0800;-0.012500;-0.002000;1.010500;0.0;0.0;0.0;0;0;30.4;23.99;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;3;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018700;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0400;0.0000;0.0600;-0.012250;-0.002000;1.011000;0.0;0.0;0.0;0;0;29.6;24.09;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;4;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018720;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0000;0.0200;0.0400;-0.012000;-0.002000;1.010500;0.0;0.0;0.0;0;0;29.9;24.01;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;5;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018740;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0000;-0.0600;0.0000;-0.011750;-0.002250;1.011000;0.0;0.0;0.0;0;0;30.0;23.90;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;6;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018760;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.67;0.0600;0.0600;0.0800;-0.012250;-0.002500;1.010500;0.0;0.0;0.0;0;0;29.9;23.98;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;7;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018780;0;110;1;0;0;100;0.00;0;0;0;0
;359.97;-0.10;0.68;0.0400;0.0600;0.0000;-0.012750;-0.002750;1.009750;0.0;0.0;0.0;0;0;29.9;24.06;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;8;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018800;0;110;1;0;0;100;0.00;0;0;0;0
;359.96;-0.10;0.68;0.0200;0.0000;0.0400;-0.012250;-0.002000;1.010750;0.0;0.0;0.0;0;0;29.9;23.96;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;9;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018820;0;110;1;0;0;100;0.00;0;0;0;0
